figure_panel	panel_content	analysis_script	figure_rendering_script	principal_output
Fig. 2a	Mouse oligodendrocyte subcluster UMAP	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	UMAP_oligo_clusters.png
Fig. 2c	Mouse A4-OL UCell score by APOE genotype	scripts/07_mouse_validation/01_mouse_a4_ucell_by_genotype.R	scripts/07_mouse_validation/01_mouse_a4_ucell_by_genotype.R	Mouse_A4OL_UCell_APOE3_vs_APOE4_cell_level_with_significance.pdf
Fig. 3b	Cross-species EGR1/Egr1 regulon target networks	scripts/06_scenic/01_run_scenic_human_mouse.R	scripts/08_figure_generation/01_plot_egr1_networks.R	Network_Human_Mouse_EGR1_Egr1_top25_targets_2x2_combined_beautified.pdf
Fig. 3c	Human EGR1 regulon AUC versus A4-OL UCell score	scripts/06_scenic/01_run_scenic_human_mouse.R; scripts/06_scenic/03_egr1_downstream_summary.R	scripts/08_figure_generation/04_plot_human_egr1_auc_vs_ucell.R	Human_EGR1_core_regulon_AUC_vs_A4_UCell_score.pdf; Human_EGR1_extended_regulon_AUC_vs_A4_UCell_score.pdf
Extended Data Fig. 5a	Differential marker expression defining mouse oligodendrocyte subclusters	scripts/02_mouse_oligodendrocytes/02_subtype_markers_and_enrichment.R	scripts/08_figure_generation/06_plot_mouse_ol_subtype_markers.R	OLIGO4_marker_dotplot.png
Extended Data Fig. 5b	Mouse oligodendrocyte subcluster proportions by genotype	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	oligo_cluster_distribution_by_genotype.png
Extended Data Fig. 5c	Mouse oligodendrocyte subcluster composition by biological replicate	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	oligo_cluster_distribution_by_sample.png
Extended Data Fig. 6a	Leave-one-mouse-out robustness summary	scripts/07_mouse_validation/02_leave_one_mouse_out_robustness.R	scripts/07_mouse_validation/02_leave_one_mouse_out_robustness.R	LOMO_A4_signature_robustness_summary.pdf
Extended Data Fig. 6b	Leave-one-mouse-out reclustering and signature maps	scripts/07_mouse_validation/02_leave_one_mouse_out_robustness.R	scripts/07_mouse_validation/02_leave_one_mouse_out_robustness.R	LOMO iteration composite plots
Extended Data Fig. 7a	Integrated human snRNA-seq UMAP by major cell type	scripts/03_human_annotation/01_annotate_major_cell_types.R	scripts/03_human_annotation/01_annotate_major_cell_types.R	UMAP_cell_type_manual.png
